image,plate,ocr_conf,det_conf,valid_format
10c96324-3452-43e2-aa68-c8ae7d3c1b6e___844874771_1_1080x720_maruti-suzuki-wagon-r-vxi-bs-iii-2014-petrol-.jpg.jpg,N52U1580,0.165,0.812,False
206c95ff-83b8-4273-b105-6637bf9a3038___numerix-number-plates-thodupuzha-idukki-number-plate-dealers-1lhwiga.jpg.jpg,NUMERIXEURO38F5808,0.568,0.776,False
254b647f-4cb3-46c3-a206-4e70041f4c78___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-33nu2i6.jpg.jpg,INL5BA1065,0.214,0.825,False
2adfb5e7-e70a-4749-b5fa-8c233c0d47d9___new_1572920d1478091901-your-favourite-number-plate-font-jetta-german-font.jpg.jpg,MH14EU3498,0.546,0.845,True
346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.jpg,INODLGCAB123X,0.668,0.651,False
422aaf6f-dd4a-450f-ac6b-65966ab512d0___1431956d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4418_1024.jpg.jpg,MHD3BS7778,0.744,0.828,False
5345a45f-8d1b-4984-b5ee-a69fc4cbda6a___new__bd7f7862-d727-11e7-ad30-e18a56154311.jpg.jpg,MH15TC554,0.517,0.805,False
59e121dc-ebc6-4e4c-ba88-7fe04b569218___Autopsyches-Skoda-Laura-6.jpg.jpg,DL3CAY2231,0.966,0.782,True
712ecd95-753f-4d67-ae42-e8b5254e6e94___28iam53.jpg.jpg,MHO2BK9793,0.6,0.843,False
72894c2b-5999-4d87-baa4-e3507548e011___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_847602356_1_1080x720_nissan-terrano-xl-d-2014-diesel-bilaspur.jpg,CG4050650,0.19,0.904,False
78a85f8b-de01-4036-ae91-2a1fa48bcf9f___new_995920d1349421647-cappuccino-beige-czech-tank-here-my-skoda-laura-2-0-elegance-mt-20121005_121433.jpg.jpg,KKA292999,0.421,0.808,False
7f369852-27b9-4141-8c48-9e88b20743a6___new_Mahindra-Scorpio-Taillamps-Night.JPG.jpg,MH01BU5207,0.928,0.819,True
7f768bfc-4c86-4fff-932d-c9871a82dce5___1431955d1446017445-number-plates-merchandise-canvas-ink-gurgaon-edit-closed-thumb_img_4422_1024.jpg.jpg,MHO3BS7778,0.511,0.808,False
AP40.jpg,AP04044464,0.156,0.804,False
AR12.jpg,,0.0,0.788,False
AS25.jpg,FAS018S4362,0.31,0.833,False
BR17.jpg,BROGPO00O6,0.192,0.828,False
CG10.jpg,CG227740,0.577,0.782,False
CH7.jpg,CHOAL4920,0.233,0.881,False
DL38.jpg,LOL4C4Q3231,0.125,0.836,False
GA9.jpg,FGA0GE3855,0.264,0.799,False
GJ11.jpg,PGJOGHS1855,0.286,0.75,False
