image,plate,source,csv_label
2adfb5e7-e70a-4749-b5fa-8c233c0d47d9___new_1572920d1478091901-your-favourite-number-plate-font-jetta-german-font.jpg.jpg,MH14EU3498,visual,MH14EU3498
59e121dc-ebc6-4e4c-ba88-7fe04b569218___Autopsyches-Skoda-Laura-6.jpg.jpg,DL3CAY2231,visual,DL3CAY2231
7f369852-27b9-4141-8c48-9e88b20743a6___new_Mahindra-Scorpio-Taillamps-Night.JPG.jpg,MH01BU5207,visual,MH01BU5207
UP16.jpg,UP32KN7325,visual,NP32KN7325
ad1f5cbc-7545-407e-8974-a03ddb7b7779___833542696_1_1080x720_mahindra-scorpio-vlx-4wd-airbag-bs-iv-2012-diesel-.jpg.jpg,TN28BA9999,visual,TN28BA9999
af608b5e-07d6-4bcf-84d0-f0cba9e54e12___Skoda-Superb-Rear-Profile.jpg.jpg,MH20CS4946,visual,MH2OCS4946
b4eb91cd-3e77-40c2-bbe6-13d42f2ea4ba___INNOVA_Euro_Number_Plates.jpg.jpg,KL43B2344,visual,KL43B2344
car-wbs-HR26CM6005_00000.jpg,HR26CM6005,filename,HR26CM6005
car-wbs-HR26CT4063_00000.jpg,HR26CT4063,filename,HR26CT4063
car-wbs-KL65H4383_00000.jpg,KL65H4383,filename,KL65H4383
car-wbs-MH12DE1433_00000.jpg,MH12DE1433,filename,WH42DE1433
car-wbs-TN21AT0480_00000.jpg,TN21AT0480,filename,TN21AT0480
car-wbs-TN28BA9999_00000.jpg,TN28BA9999,filename,TN28BA9999
car-ybs-MH47N4570_00000.jpg,MH47N4570,filename,MH47N4570
d16041c1-831d-4cc9-8869-68be8b6e12d7___slider-new-2.jpg.jpg,KL12G7531,visual,KL12G7531
f9e27b82-9e65-44ba-bf9a-b3ced8901937___Skoda-Superb-Exterior-deadfront-69204.jpg.jpg,MH20DV2362,visual,MH20DV2362
video10_1260.jpg,MH05DS8679,visual,HO5DS8679
video11_1030.jpg,MH47Y1124,visual,MH47Y1124
video11_1870.jpg,MH47Y1124,visual,MH47Y1124
video11_1890.jpg,MH47Y1124,visual,MH47Y1124
video11_1930.jpg,MH47Y1124,visual,MH47Y1124
video11_3320.jpg,MH02BQ9628,visual,MH02BQ9628
video11_3910.jpg,MH04JM3383,visual,MH04JM3383
video2_3740.jpg,MH47N2829,visual,MH47H2829
video3_1200.jpg,MH02BT6482,visual,KI12BT6482
video3_1760.jpg,MH02BT6482,visual,KH02BT6482
video3_1810.jpg,MH02BT6482,visual,MH02BT6482
video3_2250.jpg,MH02BT6482,visual,MH02BT6482
video8_850.jpg,MH01BT0050,visual,MK0IBT0050
